,Date,btc,eth,bnc
0,2017-07-25,2576.47998,206.710007,0.10587
1,2017-07-26,2529.449951,203.953003,0.105138
2,2017-07-27,2671.780029,204.317993,0.107737
3,2017-07-28,2809.01001,193.123001,0.104067
4,2017-07-29,2726.449951,205.789001,0.107811
5,2017-07-30,2757.179932,197.977997,0.106414
6,2017-07-31,2875.340088,203.871002,0.10425
7,2017-08-01,2718.26001,226.768997,0.099867
8,2017-08-02,2710.669922,219.951996,0.100452
9,2017-08-03,2804.72998,225.341995,0.106642
10,2017-08-04,2895.889893,223.072998,0.107494
11,2017-08-05,3252.909912,256.506989,0.128871
12,2017-08-06,3213.939941,261.566986,0.130999
13,2017-08-07,3378.939941,269.179993,0.148848
14,2017-08-08,3419.939941,296.769012,0.224421
15,2017-08-09,3342.469971,296.027008,0.242912
16,2017-08-10,3381.280029,295.891998,0.349079
17,2017-08-11,3650.620117,308.864014,0.392572
18,2017-08-12,3884.709961,310.601013,0.446365
19,2017-08-13,4073.26001,298.063995,0.876828
20,2017-08-14,4325.129883,300.096985,1.29557
21,2017-08-15,4181.930176,289.817993,1.05655
22,2017-08-16,4376.629883,302.266998,1.43724
23,2017-08-17,4331.689941,301.457001,1.96715
24,2017-08-18,4160.620117,295.589996,2.384
25,2017-08-19,4193.700195,297.470001,2.09337
26,2017-08-20,4087.659912,301.428009,2.50258
27,2017-08-21,4001.73999,321.591003,2.70111
28,2017-08-22,4100.52002,314.785004,2.48527
29,2017-08-23,4151.52002,317.519012,2.58043
30,2017-08-24,4334.680176,325.610992,2.37932
31,2017-08-25,4371.600098,331.915009,2.49687
32,2017-08-26,4352.399902,333.881989,2.16936
33,2017-08-27,4382.879883,347.893005,2.00519
34,2017-08-28,4382.660156,347.747009,2.0429
35,2017-08-29,4579.02002,370.666992,2.32758
36,2017-08-30,4565.299805,378.484985,2.35005
37,2017-08-31,4703.390137,383.041992,2.20379
38,2017-09-01,4892.009766,387.740997,2.38417
39,2017-09-02,4578.77002,348.984009,1.99268
40,2017-09-03,4582.959961,347.484009,1.5758
41,2017-09-04,4236.310059,295.17099,1.04957
42,2017-09-05,4376.529785,312.988007,0.973716
43,2017-09-06,4597.120117,334.338013,1.08614
44,2017-09-07,4599.879883,329.428009,1.36622
45,2017-09-08,4228.75,296.497009,1.00683
46,2017-09-09,4226.060059,294.404999,0.989301
47,2017-09-10,4122.939941,288.747009,0.942159
48,2017-09-11,4161.27002,294.532013,1.02581
49,2017-09-12,4130.810059,291.463989,1.03568
50,2017-09-13,3882.590088,277.112,0.937204
51,2017-09-14,3154.949951,213.908005,0.678784
52,2017-09-15,3637.52002,250.464005,0.799709
53,2017-09-16,3625.040039,246.522003,0.804198
54,2017-09-17,3582.879883,251.748993,0.789589
55,2017-09-18,4065.199951,293.497009,0.909202
56,2017-09-19,3924.969971,282.803986,0.802425
57,2017-09-20,3905.949951,283.742004,0.74789
58,2017-09-21,3631.040039,258.579987,0.70214
59,2017-09-22,3630.699951,264.309998,0.715893
60,2017-09-23,3792.399902,286.167999,0.770965
61,2017-09-24,3682.840088,282.483002,0.783268
62,2017-09-25,3926.070068,292.332001,0.917059
63,2017-09-26,3892.350098,287.437988,0.860747
64,2017-09-27,4200.669922,306.46701,1.14366
65,2017-09-28,4174.72998,299.154999,1.37788
66,2017-09-29,4163.069824,291.46701,1.26624
67,2017-09-30,4338.709961,301.464996,1.28358
68,2017-10-01,4403.740234,302.337006,1.52653
69,2017-10-02,4409.319824,297.475006,1.96467
70,2017-10-03,4317.47998,292.463013,1.8207
71,2017-10-04,4229.359863,292.65799,1.60148
72,2017-10-05,4328.410156,295.863007,1.67849
73,2017-10-06,4370.810059,308.588013,1.57991
74,2017-10-07,4426.890137,311.123993,1.58425
75,2017-10-08,4610.47998,308.608002,1.21723
76,2017-10-09,4772.02002,297.391998,1.40378
77,2017-10-10,4781.990234,299.869995,1.39336
78,2017-10-11,4826.47998,303.455994,1.43373
79,2017-10-12,5446.910156,304.135986,1.34376
80,2017-10-13,5647.209961,338.756989,1.43548
81,2017-10-14,5831.790039,339.627991,1.53819
82,2017-10-15,5678.189941,336.595001,1.55844
83,2017-10-16,5725.589844,333.384003,1.4407
84,2017-10-17,5605.509766,317.082001,1.38995
85,2017-10-18,5590.689941,314.319,1.32756
86,2017-10-19,5708.52002,308.088013,1.28461
87,2017-10-20,6011.450195,304.006012,1.24192
88,2017-10-21,6031.600098,300.187012,1.25405
89,2017-10-22,6008.419922,295.446014,1.21377
90,2017-10-23,5930.319824,286.950012,1.18373
91,2017-10-24,5526.640137,298.328003,1.24843
92,2017-10-25,5750.799805,297.924988,1.25278
93,2017-10-26,5904.830078,296.527008,1.2086
94,2017-10-27,5780.899902,297.423004,1.17418
95,2017-10-28,5753.089844,296.298004,1.15257
96,2017-10-29,6153.850098,305.088013,1.24123
97,2017-10-30,6130.529785,307.751007,1.31227
98,2017-10-31,6468.399902,305.878998,1.31289
99,2017-11-01,6767.310059,291.694,1.26154
100,2017-11-02,7078.5,287.428986,1.29963
101,2017-11-03,7207.759766,305.710999,1.45922
102,2017-11-04,7379.950195,300.468994,1.6372
103,2017-11-05,7407.410156,296.263,1.52166
104,2017-11-06,7022.759766,298.891998,1.56979
105,2017-11-07,7144.379883,294.658997,1.80644
